SystematicID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPNCRNA.863	4850.68280231628	-2.06403029891968	0.0807960403290341	-25.5461813538648	6.05422768989742e-144	9.60654578694473e-141
SPNCRNA.1344	320.130864263024	-1.90462663775846	0.151367775445263	-12.582774848582	2.62639565007803e-36	6.6678932764181e-34
SPCC569.02c	85.5975428384188	-1.87191343848888	0.244950049034323	-7.64202108090445	2.13838154685637e-14	1.18020066764325e-12
SPNCRNA.119	9.4739386957903	-1.84748539674103	0.760661333849474	-2.42878836418761	0.0151493725592644	0.0682732394894719
SPBCPT2R1.07c	12.8939880884783	-1.68100113687084	0.585611386127233	-2.87050623791255	0.00409815110890075	0.0252533641632943
SPNCRNA.742	457.870747919251	-1.65593094632232	0.191012715988091	-8.66921836986795	4.35096807875995e-18	3.54046081998582e-16
SPNCRNA.93	4.7985469645233	-1.58477086627324	0.910214620506103	-1.7410958147344	0.0816667848658631	0.229964100951035
SPBP4G3.02	19061.2559920511	-1.53039668829912	0.046250064803659	-33.0896117615395	4.19249944115557e-240	2.66097939530144e-236
SPNCRNA.214	3833.45582926392	-1.50834904726312	0.0619857149349838	-24.333817055191	8.60188036931125e-131	7.79944781485978e-128
SPNCRNA.923	45.7304476030976	-1.50387649567102	0.304277550992819	-4.9424497165961	7.71470065966614e-07	1.52065854307146e-05
SPNCRNA.130	66.0510288891119	-1.4786654739431	0.285341242485752	-5.18209516809309	2.19407209041066e-07	4.72060188401235e-06
SPNCRNA.1255	28.8355173155583	-1.47762181655958	0.366909534532786	-4.02721019076583	5.64425720115928e-05	0.000687602695887869
SPBC16G5.19	5.60606200400693	-1.42301785647163	0.806370916134161	-1.76471872682828	0.0776110496532802	0.221890690157374
SPAC821.10c	15859.9622785984	-1.41146859286891	0.0556712396283788	-25.3536404486564	8.19298133648868e-142	1.04001705085387e-138
SPCC70.08c	762.419731235612	-1.40169386084225	0.0993676045110598	-14.1061452345491	3.48092022214284e-45	1.22741114721892e-42
SPCC663.14c	15.3062313881712	-1.38780748104363	0.520535618827905	-2.66611434615861	0.00767335888316891	0.0405856740262276
SPCC1393.14	77.4234828940497	-1.34045634363142	0.238818102223833	-5.61287578767824	1.98991444626572e-08	5.17622417641332e-07
SPNCRNA.1605	70.3338122450723	-1.32711217849601	0.232749846764908	-5.70188207185579	1.18491795149762e-08	3.15994715888883e-07
SPCC18B5.09c	1299.82173503012	-1.30332205184522	0.0691378512802009	-18.8510638920949	2.87991911918819e-79	2.03098296105416e-76
SPNCRNA.888	286.239547487857	-1.29686356198557	0.125702430503234	-10.3169330679903	5.90802445984811e-25	8.5223252833309e-23
SPAC186.06	160.84493568217	-1.22922285986697	0.191794640884877	-6.40905738656588	1.4642207734863e-10	5.07836571000958e-09
SPNCRNA.1626	4010.87605062392	-1.21001148034787	0.0844042680445142	-14.3359039581946	1.30535715304906e-46	4.8735893237661e-44
SPBC1271.07c	1980.43533369092	-1.17671352275812	0.11105561591591	-10.5957138056766	3.11951940729007e-26	4.94989741951752e-24
SPNCRNA.406	16.5500343001425	-1.17390731259506	0.525835062381404	-2.23246298426481	0.0255843790541459	0.100547401768832
SPBPB2B2.01	415.540018430522	-1.16989877856462	0.109152948281819	-10.7179769028692	8.3816598357206e-27	1.36406140967484e-24
SPBPJ4664.03	35.1665955910602	-1.16556165023582	0.333061476808683	-3.49953906829441	0.000466063301567352	0.00433739556458649
SPAC869.09	10.3763546380637	-1.16514558622457	0.628563604732523	-1.85366377794079	0.0637872769268166	0.192057802018266
